epoch,cpu_mhz_avg,gpu_edge_c,acpi_c,gpu_mhz,gpu_power_w,bat_status,bat_pct,mem_avail_mb
1790379732,2402,72.0,71.0,1600,15.03,Not charging,76,8105
1790379737,2424,70.0,71.0,1517,15.12,Not charging,76,8125
1790379742,2424,70.0,71.0,1600,14.22,Not charging,76,8153
1790379747,2424,71.0,71.0,1600,14.12,Not charging,76,8175
1790379752,1778,71.0,71.0,1600,15.08,Not charging,76,8167
1790379757,2398,72.0,71.0,1600,17.05,Not charging,76,8159
1790379762,2407,72.0,71.0,1600,15.09,Not charging,76,8170
1790379767,1612,72.0,72.0,1600,13.23,Not charging,76,8178
1790379772,2083,72.0,72.0,1600,16.16,Not charging,76,8177
1790379777,2387,72.0,72.0,1600,15.21,Not charging,76,8177
1790379782,2349,69.0,72.0,1489,14.03,Not charging,76,8174
1790379787,2424,72.0,72.0,1600,15.08,Not charging,76,8179
1790379792,2211,72.0,72.0,1600,15.12,Not charging,76,8175
1790379797,2418,71.0,72.0,1600,17.01,Not charging,76,8175
1790379802,2423,71.0,72.0,1468,15.13,Not charging,76,8169
1790379807,1780,72.0,72.0,1600,16.04,Not charging,76,8180
1790379812,1536,72.0,72.0,1600,14.19,Not charging,76,8177
1790379817,2113,72.0,72.0,1600,15.15,Not charging,76,8186
1790379822,2235,70.0,72.0,1499,14.24,Not charging,76,8151
1790379827,2425,72.0,72.0,1600,16.12,Not charging,76,8174
1790379832,2419,71.0,72.0,1456,13.24,Not charging,76,8150
1790379837,2334,70.0,72.0,1507,15.05,Not charging,76,8170
1790379842,1800,71.0,72.0,1600,15.10,Not charging,76,8167
1790379848,2020,72.0,72.0,1600,14.14,Not charging,76,8164
1790379853,1882,73.0,73.0,1600,15.11,Not charging,76,8184
1790379858,1399,72.0,72.0,1600,15.09,Not charging,76,8166
1790379863,2424,72.0,72.0,1600,15.17,Not charging,76,8174
1790379868,1430,72.0,72.0,1600,14.06,Not charging,76,8174
1790379873,1662,72.0,72.0,1600,15.07,Not charging,76,8174
1790379878,1989,72.0,72.0,1599,15.22,Not charging,76,8154
1790379883,2335,72.0,72.0,1600,15.09,Not charging,76,8167
1790379888,2370,71.0,72.0,1600,13.19,Not charging,76,8150
1790379893,1399,72.0,72.0,1600,15.07,Not charging,76,8181
1790379898,2424,72.0,73.0,1484,15.11,Not charging,76,8161
1790379903,2119,72.0,72.0,1600,16.03,Not charging,76,8182
1790379908,1788,72.0,72.0,1600,15.15,Not charging,76,8182
1790379913,2334,72.0,72.0,1600,15.07,Not charging,76,8154
1790379918,2346,72.0,72.0,1600,16.19,Not charging,76,8162
1790379923,2424,72.0,72.0,1600,15.11,Not charging,76,8168
1790379928,2103,70.0,72.0,1561,15.25,Not charging,76,8149
1790379933,2070,72.0,72.0,1600,14.03,Not charging,76,8167
1790379938,2341,73.0,72.0,1600,15.01,Not charging,76,8161
1790379943,2187,72.0,72.0,1600,14.24,Not charging,76,8141
1790379948,2380,72.0,72.0,1600,16.06,Not charging,76,8153
1790379953,2424,71.0,72.0,1600,16.01,Not charging,76,8149
1790379958,2424,69.0,72.0,1541,15.12,Not charging,76,8120
1790379964,2338,71.0,71.0,1599,4.19,Not charging,76,8150
1790379969,2420,70.0,71.0,1600,15.02,Not charging,76,8144
1790379974,2422,66.0,71.0,1201,10.22,Not charging,76,8147
1790379979,2318,71.0,71.0,1600,15.11,Not charging,76,8147
1790379984,2424,70.0,71.0,1600,8.03,Not charging,76,8161
1790379989,2300,70.0,70.0,1600,15.10,Not charging,76,8146
1790379994,2424,70.0,71.0,1565,16.05,Not charging,76,8125
1790379999,2388,71.0,71.0,1600,15.14,Not charging,76,8140
1790380004,2424,72.0,71.0,1600,15.09,Not charging,76,8145
